v1	I(D1)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-03	1.394195e-15
2.000000000000000e-03	2.803928e-15
3.000000000000000e-03	4.229814e-15
4.000000000000000e-03	5.672487e-15
5.000000000000000e-03	7.132610e-15
6.000000000000000e-03	8.610871e-15
7.000000000000000e-03	1.010798e-14
8.000000000000000e-03	1.162469e-14
9.000000000000001e-03	1.316177e-14
1.000000000000000e-02	1.472002e-14
1.100000000000000e-02	1.630028e-14
1.200000000000000e-02	1.790341e-14
1.300000000000000e-02	1.953031e-14
1.400000000000001e-02	2.118193e-14
1.500000000000001e-02	2.285923e-14
1.600000000000001e-02	2.456323e-14
1.700000000000001e-02	2.629498e-14
1.800000000000001e-02	2.805558e-14
1.900000000000001e-02	2.984616e-14
2.000000000000001e-02	3.166791e-14
2.100000000000001e-02	3.352204e-14
2.200000000000001e-02	3.540985e-14
2.300000000000001e-02	3.733266e-14
2.400000000000001e-02	3.929184e-14
2.500000000000002e-02	4.128882e-14
2.600000000000002e-02	4.332512e-14
2.700000000000002e-02	4.540226e-14
2.800000000000002e-02	4.752186e-14
2.900000000000002e-02	4.968560e-14
3.000000000000002e-02	5.189521e-14
3.100000000000002e-02	5.415250e-14
3.200000000000002e-02	5.645935e-14
3.300000000000002e-02	5.881772e-14
3.400000000000002e-02	6.122964e-14
3.500000000000002e-02	6.369721e-14
3.600000000000003e-02	6.622264e-14
3.700000000000003e-02	6.880819e-14
3.800000000000003e-02	7.145625e-14
3.900000000000003e-02	7.416927e-14
4.000000000000003e-02	7.694982e-14
4.100000000000003e-02	7.980055e-14
4.200000000000003e-02	8.272425e-14
4.300000000000003e-02	8.572377e-14
4.400000000000003e-02	8.880211e-14
4.500000000000003e-02	9.196238e-14
4.600000000000003e-02	9.520781e-14
4.700000000000003e-02	9.854175e-14
4.800000000000004e-02	1.019677e-13
4.900000000000004e-02	1.054893e-13
5.000000000000004e-02	1.091102e-13
5.100000000000004e-02	1.128345e-13
5.200000000000004e-02	1.166662e-13
5.300000000000004e-02	1.206095e-13
5.400000000000004e-02	1.246688e-13
5.500000000000004e-02	1.288488e-13
5.600000000000004e-02	1.331540e-13
5.700000000000004e-02	1.375896e-13
5.800000000000004e-02	1.421606e-13
5.900000000000005e-02	1.468723e-13
6.000000000000005e-02	1.517304e-13
6.100000000000005e-02	1.567406e-13
6.200000000000005e-02	1.619088e-13
6.300000000000004e-02	1.672414e-13
6.400000000000004e-02	1.727447e-13
6.500000000000004e-02	1.784256e-13
6.600000000000004e-02	1.842909e-13
6.700000000000005e-02	1.903481e-13
6.800000000000005e-02	1.966046e-13
6.900000000000005e-02	2.030683e-13
7.000000000000005e-02	2.097474e-13
7.100000000000005e-02	2.166504e-13
7.200000000000005e-02	2.237860e-13
7.300000000000005e-02	2.311636e-13
7.400000000000005e-02	2.387925e-13
7.500000000000005e-02	2.466827e-13
7.600000000000005e-02	2.548445e-13
7.700000000000005e-02	2.632887e-13
7.800000000000006e-02	2.720263e-13
7.900000000000006e-02	2.810689e-13
8.000000000000006e-02	2.904285e-13
8.100000000000006e-02	3.001177e-13
8.200000000000006e-02	3.101494e-13
8.300000000000006e-02	3.205371e-13
8.400000000000006e-02	3.312949e-13
8.500000000000006e-02	3.424373e-13
8.600000000000006e-02	3.539796e-13
8.700000000000006e-02	3.659374e-13
8.800000000000006e-02	3.783271e-13
8.900000000000007e-02	3.911659e-13
9.000000000000007e-02	4.044713e-13
9.100000000000007e-02	4.182618e-13
9.200000000000007e-02	4.325565e-13
9.300000000000007e-02	4.473752e-13
9.400000000000007e-02	4.627387e-13
9.500000000000007e-02	4.786684e-13
9.600000000000007e-02	4.951866e-13
9.700000000000007e-02	5.123165e-13
9.800000000000007e-02	5.300822e-13
9.900000000000007e-02	5.485089e-13
1.000000000000001e-01	5.676225e-13
1.010000000000001e-01	5.874501e-13
1.020000000000001e-01	6.080199e-13
1.030000000000001e-01	6.293611e-13
1.040000000000001e-01	6.515042e-13
1.050000000000001e-01	6.744807e-13
1.060000000000001e-01	6.983236e-13
1.070000000000001e-01	7.230668e-13
1.080000000000001e-01	7.487461e-13
1.090000000000001e-01	7.753981e-13
1.100000000000001e-01	8.030613e-13
1.110000000000001e-01	8.317757e-13
1.120000000000001e-01	8.615825e-13
1.130000000000001e-01	8.925248e-13
1.140000000000001e-01	9.246474e-13
1.150000000000001e-01	9.579969e-13
1.160000000000001e-01	9.926217e-13
1.170000000000001e-01	1.028572e-12
1.180000000000001e-01	1.065900e-12
1.190000000000001e-01	1.104660e-12
1.200000000000001e-01	1.144908e-12
1.210000000000001e-01	1.186703e-12
1.220000000000001e-01	1.230107e-12
1.230000000000001e-01	1.275182e-12
1.240000000000001e-01	1.321995e-12
1.250000000000001e-01	1.370613e-12
1.260000000000001e-01	1.421109e-12
1.270000000000001e-01	1.473556e-12
1.280000000000001e-01	1.528030e-12
1.290000000000001e-01	1.584613e-12
1.300000000000001e-01	1.643387e-12
1.310000000000001e-01	1.704438e-12
1.320000000000001e-01	1.767856e-12
1.330000000000001e-01	1.833735e-12
1.340000000000001e-01	1.902171e-12
1.350000000000001e-01	1.973266e-12
1.360000000000001e-01	2.047124e-12
1.370000000000001e-01	2.123853e-12
1.380000000000001e-01	2.203568e-12
1.390000000000001e-01	2.286386e-12
1.400000000000001e-01	2.372429e-12
1.410000000000001e-01	2.461824e-12
1.420000000000001e-01	2.554704e-12
1.430000000000001e-01	2.651206e-12
1.440000000000001e-01	2.751472e-12
1.450000000000001e-01	2.855651e-12
1.460000000000001e-01	2.963898e-12
1.470000000000001e-01	3.076372e-12
1.480000000000001e-01	3.193241e-12
1.490000000000001e-01	3.314677e-12
1.500000000000001e-01	3.440860e-12
1.510000000000001e-01	3.571978e-12
1.520000000000001e-01	3.708226e-12
1.530000000000001e-01	3.849805e-12
1.540000000000001e-01	3.996925e-12
1.550000000000001e-01	4.149805e-12
1.560000000000001e-01	4.308672e-12
1.570000000000001e-01	4.473763e-12
1.580000000000001e-01	4.645321e-12
1.590000000000001e-01	4.823603e-12
1.600000000000001e-01	5.008874e-12
1.610000000000001e-01	5.201408e-12
1.620000000000001e-01	5.401492e-12
1.630000000000001e-01	5.609424e-12
1.640000000000001e-01	5.825514e-12
1.650000000000001e-01	6.050082e-12
1.660000000000001e-01	6.283463e-12
1.670000000000001e-01	6.526004e-12
1.680000000000001e-01	6.778067e-12
1.690000000000001e-01	7.040027e-12
1.700000000000001e-01	7.312273e-12
1.710000000000001e-01	7.595212e-12
1.720000000000001e-01	7.889265e-12
1.730000000000001e-01	8.194869e-12
1.740000000000001e-01	8.512482e-12
1.750000000000001e-01	8.842574e-12
1.760000000000001e-01	9.185639e-12
1.770000000000001e-01	9.542189e-12
1.780000000000001e-01	9.912754e-12
1.790000000000001e-01	1.029789e-11
1.800000000000001e-01	1.069816e-11
1.810000000000001e-01	1.111418e-11
1.820000000000001e-01	1.154655e-11
1.830000000000001e-01	1.199593e-11
1.840000000000001e-01	1.246298e-11
1.850000000000001e-01	1.294841e-11
1.860000000000001e-01	1.345293e-11
1.870000000000001e-01	1.397730e-11
1.880000000000001e-01	1.452230e-11
1.890000000000001e-01	1.508874e-11
1.900000000000001e-01	1.567748e-11
1.910000000000001e-01	1.628938e-11
1.920000000000001e-01	1.692536e-11
1.930000000000001e-01	1.758638e-11
1.940000000000001e-01	1.827341e-11
1.950000000000001e-01	1.898749e-11
1.960000000000001e-01	1.972967e-11
1.970000000000001e-01	2.050107e-11
1.980000000000001e-01	2.130284e-11
1.990000000000001e-01	2.213618e-11
2.000000000000001e-01	2.300232e-11
2.010000000000002e-01	2.390257e-11
2.020000000000002e-01	2.483827e-11
2.030000000000002e-01	2.581081e-11
2.040000000000002e-01	2.682165e-11
2.050000000000002e-01	2.787230e-11
2.060000000000002e-01	2.896433e-11
2.070000000000002e-01	3.009936e-11
2.080000000000002e-01	3.127909e-11
2.090000000000002e-01	3.250529e-11
2.100000000000002e-01	3.377979e-11
2.110000000000002e-01	3.510449e-11
2.120000000000002e-01	3.648137e-11
2.130000000000002e-01	3.791248e-11
2.140000000000002e-01	3.939997e-11
2.150000000000002e-01	4.094605e-11
2.160000000000002e-01	4.255304e-11
2.170000000000002e-01	4.422334e-11
2.180000000000002e-01	4.595944e-11
2.190000000000002e-01	4.776394e-11
2.200000000000002e-01	4.963953e-11
2.210000000000002e-01	5.158901e-11
2.220000000000002e-01	5.361531e-11
2.230000000000002e-01	5.572144e-11
2.240000000000002e-01	5.791055e-11
2.250000000000002e-01	6.018592e-11
2.260000000000002e-01	6.255094e-11
2.270000000000002e-01	6.500915e-11
2.280000000000002e-01	6.756423e-11
2.290000000000002e-01	7.021998e-11
2.300000000000002e-01	7.298038e-11
2.310000000000002e-01	7.584956e-11
2.320000000000002e-01	7.883179e-11
2.330000000000002e-01	8.193154e-11
2.340000000000002e-01	8.515345e-11
2.350000000000002e-01	8.850233e-11
2.360000000000002e-01	9.198317e-11
2.370000000000002e-01	9.560119e-11
2.380000000000002e-01	9.936179e-11
2.390000000000002e-01	1.032706e-10
2.400000000000002e-01	1.073334e-10
2.410000000000002e-01	1.115564e-10
2.420000000000002e-01	1.159458e-10
2.430000000000002e-01	1.205082e-10
2.440000000000002e-01	1.252504e-10
2.450000000000002e-01	1.301794e-10
2.460000000000002e-01	1.353028e-10
2.470000000000002e-01	1.406280e-10
2.480000000000002e-01	1.461632e-10
2.490000000000002e-01	1.519165e-10
2.500000000000002e-01	1.578965e-10
2.510000000000002e-01	1.641122e-10
2.520000000000002e-01	1.705730e-10
2.530000000000002e-01	1.772883e-10
2.540000000000002e-01	1.842684e-10
2.550000000000002e-01	1.915235e-10
2.560000000000002e-01	1.990646e-10
2.570000000000002e-01	2.069029e-10
2.580000000000002e-01	2.150502e-10
2.590000000000002e-01	2.235186e-10
2.600000000000002e-01	2.323207e-10
2.610000000000002e-01	2.414698e-10
2.620000000000002e-01	2.509795e-10
2.630000000000002e-01	2.608641e-10
2.640000000000002e-01	2.711383e-10
2.650000000000002e-01	2.818174e-10
2.660000000000002e-01	2.929174e-10
2.670000000000002e-01	3.044550e-10
