time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
3.920090880610758e-07	2.465980e-02	-2.131544e-07
7.840181761221516e-07	4.926927e-02	-4.354801e-08
1.176027264183227e-06	7.382840e-02	5.088193e-07
1.568036352244303e-06	9.833721e-02	1.443948e-06
1.960045440305379e-06	1.227957e-01	2.761837e-06
2.352054528366455e-06	1.472038e-01	4.462487e-06
2.744063616427530e-06	1.715616e-01	6.545898e-06
3.631154056963095e-06	2.261779e-01	1.468240e-05
4.607716556963095e-06	2.854840e-01	2.873002e-05
5.584279056963095e-06	3.437155e-01	4.941773e-05
6.560841556963095e-06	4.006534e-01	7.806631e-05
7.537404056963095e-06	4.560833e-01	1.158001e-04
8.513966556963096e-06	5.097966e-01	1.636563e-04
9.490529056963097e-06	5.615911e-01	2.225833e-04
1.046709155696310e-05	6.112719e-01	2.934393e-04
1.144365405696310e-05	6.586521e-01	3.769911e-04
1.339677905696310e-05	7.458063e-01	5.847865e-04
1.534990405696310e-05	8.217430e-01	8.502472e-04
1.730302905696310e-05	8.853198e-01	1.176157e-03
1.925615405696311e-05	9.355806e-01	1.563815e-03
2.120927905696311e-05	9.717695e-01	2.013067e-03
2.316240405696311e-05	9.933419e-01	2.522345e-03
2.511552905696311e-05	9.999737e-01	3.088738e-03
2.706865405696311e-05	9.915648e-01	3.708067e-03
2.902177905696311e-05	9.682419e-01	4.374985e-03
3.097490405696311e-05	9.303558e-01	5.083084e-03
3.292802905696311e-05	8.784763e-01	5.825025e-03
3.488115405696312e-05	8.133836e-01	6.592672e-03
3.683427905696312e-05	7.360569e-01	7.377235e-03
3.878740405696312e-05	6.476592e-01	8.169430e-03
4.074052905696312e-05	5.495201e-01	8.959633e-03
4.269365405696312e-05	4.431157e-01	9.738050e-03
4.464677905696313e-05	3.300464e-01	1.049487e-02
4.659990405696313e-05	2.120130e-01	1.122045e-02
4.855302905696313e-05	9.079067e-02	1.190543e-02
4.952959155696313e-05	2.955233e-02	1.222991e-02
5.148271655696313e-05	-9.302713e-02	1.283756e-02
5.343584155696313e-05	-2.142074e-01	1.338362e-02
5.538896655696313e-05	-3.321657e-01	1.386099e-02
5.734209155696314e-05	-4.451280e-01	1.426351e-02
5.929521655696314e-05	-5.513952e-01	1.458604e-02
6.124834155696314e-05	-6.493688e-01	1.482453e-02
6.320146655696314e-05	-7.375754e-01	1.497615e-02
6.515459155696314e-05	-8.146881e-01	1.503928e-02
6.710771655696314e-05	-8.795471e-01	1.501357e-02
6.906084155696315e-05	-9.311770e-01	1.489992e-02
7.101396655696315e-05	-9.688010e-01	1.470053e-02
