Freq.,V(n003)
1.00E-03,"(-4.37268503754795e-10dB,-5.83017209980711e-04°)"
1.00E-03,"(-4.39284912487460e-10dB,-5.84361203453140e-04°)"
1.00E-03,"(-4.41312893149724e-10dB,-5.85708295150497e-04°)"
1.01E-03,"(-4.43351481414122e-10dB,-5.87058492214930e-04°)"
1.01E-03,"(-4.45396819970786e-10dB,-5.88411801805047e-04°)"
1.01E-03,"(-4.47454694784516e-10dB,-5.89768231095961e-04°)"
1.01E-03,"(-4.49518355563047e-10dB,-5.91127787279327e-04°)"
1.02E-03,"(-4.51594552598644e-10dB,-5.92490477563375e-04°)"
1.02E-03,"(-4.53678464253974e-10dB,-5.93856309172953e-04°)"
1.02E-03,"(-4.55772019183971e-10dB,-5.95225289349565e-04°)"
1.02E-03,"(-4.57875217388634e-10dB,-5.96597425351407e-04°)"
1.03E-03,"(-4.59988058867964e-10dB,-5.97972724453409e-04°)"
1.03E-03,"(-4.62109579294494e-10dB,-5.99351193947268e-04°)"
1.03E-03,"(-4.64244600305557e-10dB,-6.00732841141493e-04°)"
1.03E-03,"(-4.66388300263820e-10dB,-6.02117673361439e-04°)"
1.04E-03,"(-4.68538750514349e-10dB,-6.03505697949350e-04°)"
1.04E-03,"(-4.70703665676878e-10dB,-6.04896922264393e-04°)"
1.04E-03,"(-4.72877259786608e-10dB,-6.06291353682702e-04°)"
1.04E-03,"(-4.75057604188604e-10dB,-6.07688999597412e-04°)"
1.04E-03,"(-4.77251449175133e-10dB,-6.09089867418704e-04°)"
1.05E-03,"(-4.79453973108862e-10dB,-6.10493964573838e-04°)"
1.05E-03,"(-4.81667104644724e-10dB,-6.11901298507200e-04°)"
1.05E-03,"(-4.83890843782719e-10dB,-6.13311876680331e-04°)"
1.05E-03,"(-4.86125190522848e-10dB,-6.14725706571979e-04°)"
1.06E-03,"(-4.88370144865110e-10dB,-6.16142795678128e-04°)"
1.06E-03,"(-4.90621849499639e-10dB,-6.17563151512043e-04°)"
1.06E-03,"(-4.92888983373634e-10dB,-6.18986781604310e-04°)"
1.06E-03,"(-4.95161903212429e-10dB,-6.20413693502874e-04°)"
1.07E-03,"(-4.97448323635758e-10dB,-6.21843894773080e-04°)"
1.07E-03,"(-4.99744387333753e-10dB,-6.23277392997712e-04°)"
1.07E-03,"(-5.02051058633881e-10dB,-6.24714195777035e-04°)"
1.07E-03,"(-5.04366408881210e-10dB,-6.26154310728835e-04°)"
1.08E-03,"(-5.06696224040538e-10dB,-6.27597745488458e-04°)"
