time,V(n001),V(n003)
0.00E+00,0.00E+00,0.00E+00
3.92E-07,2.47E-02,-2.13E-07
7.84E-07,4.93E-02,-4.35E-08
1.18E-06,7.38E-02,5.09E-07
1.57E-06,9.83E-02,1.44E-06
1.96E-06,1.23E-01,2.76E-06
2.35E-06,1.47E-01,4.46E-06
2.74E-06,1.72E-01,6.55E-06
3.63E-06,2.26E-01,1.47E-05
4.61E-06,2.85E-01,2.87E-05
5.58E-06,3.44E-01,4.94E-05
6.56E-06,4.01E-01,7.81E-05
7.54E-06,4.56E-01,1.16E-04
8.51E-06,5.10E-01,1.64E-04
9.49E-06,5.62E-01,2.23E-04
1.05E-05,6.11E-01,2.93E-04
1.14E-05,6.59E-01,3.77E-04
1.34E-05,7.46E-01,5.85E-04
1.53E-05,8.22E-01,8.50E-04
1.73E-05,8.85E-01,1.18E-03
1.93E-05,9.36E-01,1.56E-03
2.12E-05,9.72E-01,2.01E-03
2.32E-05,9.93E-01,2.52E-03
2.51E-05,1.00E+00,3.09E-03
2.71E-05,9.92E-01,3.71E-03
2.90E-05,9.68E-01,4.37E-03
3.10E-05,9.30E-01,5.08E-03
3.29E-05,8.78E-01,5.83E-03
3.49E-05,8.13E-01,6.59E-03
3.68E-05,7.36E-01,7.38E-03
3.88E-05,6.48E-01,8.17E-03
4.07E-05,5.50E-01,8.96E-03
4.27E-05,4.43E-01,9.74E-03
4.46E-05,3.30E-01,1.05E-02
4.66E-05,2.12E-01,1.12E-02
4.86E-05,9.08E-02,1.19E-02
4.95E-05,2.96E-02,1.22E-02
5.15E-05,-9.30E-02,1.28E-02
5.34E-05,-2.14E-01,1.34E-02
5.54E-05,-3.32E-01,1.39E-02
5.73E-05,-4.45E-01,1.43E-02
5.93E-05,-5.51E-01,1.46E-02
6.12E-05,-6.49E-01,1.48E-02
6.32E-05,-7.38E-01,1.50E-02
6.52E-05,-8.15E-01,1.50E-02
6.71E-05,-8.80E-01,1.50E-02
6.91E-05,-9.31E-01,1.49E-02
7.10E-05,-9.69E-01,1.47E-02
7.30E-05,-9.92E-01,1.44E-02
7.49E-05,-1.00E+00,1.41E-02
7.69E-05,-9.93E-01,1.36E-02
7.88E-05,-9.71E-01,1.31E-02
8.08E-05,-9.35E-01,1.26E-02
8.27E-05,-8.84E-01,1.20E-02
8.47E-05,-8.20E-01,1.13E-02
8.66E-05,-7.44E-01,1.07E-02
8.86E-05,-6.57E-01,9.97E-03
8.96E-05,-6.09E-01,9.62E-03
9.05E-05,-5.60E-01,9.26E-03
9.15E-05,-5.08E-01,8.91E-03
9.25E-05,-4.54E-01,8.56E-03
9.35E-05,-3.99E-01,8.22E-03
9.45E-05,-3.42E-01,7.88E-03
9.54E-05,-2.83E-01,7.54E-03
9.64E-05,-2.24E-01,7.21E-03
9.74E-05,-1.64E-01,6.89E-03
9.84E-05,-1.03E-01,6.58E-03
9.93E-05,-4.18E-02,6.28E-03
1.00E-04,1.95E-02,5.99E-03
1.01E-04,8.08E-02,5.71E-03
1.02E-04,1.42E-01,5.45E-03
1.03E-04,2.02E-01,5.20E-03
1.04E-04,2.62E-01,4.97E-03
1.05E-04,3.21E-01,4.75E-03
1.06E-04,3.78E-01,4.55E-03
1.07E-04,4.34E-01,4.37E-03
1.08E-04,4.89E-01,4.21E-03
1.09E-04,5.41E-01,4.07E-03
1.10E-04,5.92E-01,3.94E-03
1.11E-04,6.40E-01,3.84E-03
1.13E-04,7.29E-01,3.70E-03
1.15E-04,8.08E-01,3.64E-03
1.17E-04,8.74E-01,3.67E-03
1.19E-04,9.27E-01,3.79E-03
1.21E-04,9.66E-01,3.98E-03
1.23E-04,9.90E-01,4.26E-03
1.25E-04,1.00E+00,4.61E-03
1.27E-04,9.94E-01,5.04E-03
1.29E-04,9.74E-01,5.53E-03
1.31E-04,9.39E-01,6.07E-03
1.33E-04,8.90E-01,6.67E-03
1.34E-04,8.27E-01,7.30E-03
1.36E-04,7.52E-01,7.96E-03
1.38E-04,6.66E-01,8.64E-03
1.40E-04,5.70E-01,9.33E-03
1.42E-04,4.65E-01,1.00E-02
1.44E-04,3.53E-01,1.07E-02
